"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-03 03:13:01,-61,-17,-88,-42
2021-03-03 03:13:04,-58,-63,-56,-36
2021-03-03 03:13:08,-55,-40,-4,-89
2021-03-03 03:13:09,-56,-29,-14,-47
2021-03-03 03:13:12,-61,-87,-44,-9
2021-03-03 03:13:16,-59,-53,-79,-21
2021-03-03 03:13:17,-60,-24,-54,-83
2021-03-03 03:13:20,-60,-9,-46,-17
2021-03-03 03:13:23,-59,-1,-76,-18
2021-03-03 03:13:25,-59,-48,-54,-10
2021-03-03 03:13:28,-60,-39,-22,-16
2021-03-03 03:13:31,-60,-12,-28,-31
2021-03-03 03:13:33,-59,-51,-37,-81
2021-03-03 03:13:36,-60,-56,-78,-66
2021-03-03 03:13:39,-59,-22,-24,-57
2021-03-03 03:13:41,-61,-25,-12,-71
2021-03-03 03:13:44,-61,-45,-87,-35
2021-03-03 03:13:47,-62,-55,-12,-59
2021-03-03 03:13:51,-62,-47,-75,-2
2021-03-03 03:13:52,-63,-60,-44,-17
2021-03-03 03:13:55,-64,-90,-30,-27
2021-03-03 03:13:58,-55,-26,-4,-40
2021-03-03 03:14:01,-57,-90,-35,-56
2021-03-03 03:14:03,-57,-25,-42,-20
2021-03-03 03:14:06,-57,-56,-41,-13
2021-03-03 03:14:09,-58,-23,-74,-80
2021-03-03 03:14:12,-62,-87,-27,-49
2021-03-03 03:14:15,-62,-75,-71,-78
2021-03-03 03:14:17,-57,-62,-47,-25
2021-03-03 03:14:20,-63,-27,-84,-54
2021-03-03 03:14:22,-58,-29,-68,-88
2021-03-03 03:14:26,-56,-23,-50,-30
2021-03-03 03:14:28,-58,-71,-53,-89
2021-03-03 03:14:32,-58,-33,-83,-65
2021-03-03 03:14:33,-57,-5,-88,-22
2021-03-03 03:14:36,-58,-63,-60,-81
2021-03-03 03:14:39,-58,-37,-68,-85
2021-03-03 03:14:43,-57,-86,-9,-48
2021-03-03 03:14:46,-55,-54,-90,-86
2021-03-03 03:14:48,-66,-71,-23,-70
2021-03-03 03:14:49,-66,-34,-65,-82
2021-03-03 03:14:53,-67,-45,-70,-41
2021-03-03 03:14:55,-68,-81,-69,-43
2021-03-03 03:14:59,-68,-23,-90,-35
2021-03-03 03:15:01,-66,-29,-56,-12
2021-03-03 03:15:03,-66,-56,-37,-29
2021-03-03 03:15:07,-65,-78,-80,-51
2021-03-03 03:15:08,-65,-27,-23,-48
2021-03-03 03:15:13,-65,-34,-2,-19
2021-03-03 03:15:15,-66,-4,-10,-53
2021-03-03 03:15:16,-66,-31,-35,-52
2021-03-03 03:15:20,-65,-38,-31,-24
2021-03-03 03:15:23,-64,-29,-11,-90
2021-03-03 03:15:25,-65,-20,-39,-74
2021-03-03 03:15:27,-65,-1,-87,-69
2021-03-03 03:15:30,-63,-48,-14,-55
2021-03-03 03:15:34,-62,-75,-62,-13
2021-03-03 03:15:35,-68,-73,-26,-20
2021-03-03 03:15:39,-71,-52,-49,-45
2021-03-03 03:15:42,-70,-65,-69,-27
2021-03-03 03:15:43,-69,-68,-58,-20
2021-03-03 03:15:46,-60,-41,-82,-84
2021-03-03 03:15:50,-66,-84,-5,-71
2021-03-03 03:15:53,-66,-7,-26,-67
2021-03-03 03:15:54,-65,-87,-25,-8
2021-03-03 03:15:57,-66,-56,-77,-89
2021-03-03 03:16:01,-66,-73,-7,-43
2021-03-03 03:16:03,-65,-56,-58,-67
2021-03-03 03:16:05,-67,-67,-41,-9
2021-03-03 03:16:08,-66,-2,-50,-24
2021-03-03 03:16:10,-65,-69,-66,-61
2021-03-03 03:16:13,-66,-57,-73,-25
2021-03-03 03:16:16,-65,-52,-23,-90
2021-03-03 03:16:20,-67,-70,-33,-50
2021-03-03 03:16:21,-65,-71,-52,-70
2021-03-03 03:16:24,-69,-72,-67,-42
2021-03-03 03:16:27,-67,-86,-55,-50
2021-03-03 03:16:31,-65,-88,-66,-63
2021-03-03 03:16:33,-62,-68,-78,-36
2021-03-03 03:16:35,-64,-37,-25,-88
2021-03-03 03:16:37,-62,-9,-72,-9
2021-03-03 03:16:40,-63,-4,-89,-46
2021-03-03 03:16:43,-64,-61,-36,-42
2021-03-03 03:16:46,-64,-87,-30,-85
2021-03-03 03:16:48,-68,-51,-74,-73
2021-03-03 03:16:53,-66,-49,-27,-36
2021-03-03 03:16:55,-64,-65,-6,-61
2021-03-03 03:16:58,-63,-73,-38,-27
2021-03-03 03:17:01,-63,-89,-22,-62
2021-03-03 03:17:03,-63,-73,-59,-30
2021-03-03 03:17:06,-63,-11,-90,-12
2021-03-03 03:17:07,-63,-57,-41,-86
2021-03-03 03:17:10,-63,-71,-20,-50
2021-03-03 03:17:13,-63,-8,-25,-64
2021-03-03 03:17:15,-63,-29,-8,-30
2021-03-03 03:17:18,-64,-37,-65,-9
2021-03-03 03:17:22,-63,-21,-62,-54
2021-03-03 03:17:23,-63,-66,-2,-83
2021-03-03 03:17:26,-64,-58,-41,-1
2021-03-03 03:17:30,-70,-10,-34,-66
2021-03-03 03:17:33,-71,-22,-30,-73
2021-03-03 03:17:34,-73,-11,-15,-32
2021-03-03 03:17:39,-71,-16,-42,-78
2021-03-03 03:17:40,-76,-40,-13,-56
2021-03-03 03:17:42,-76,-38,-24,-81
2021-03-03 03:17:47,-77,-29,-45,-41
2021-03-03 03:17:49,-77,-24,-26,-60
2021-03-03 03:17:50,-77,-12,-58,-73
2021-03-03 03:17:53,-77,-70,-49,-17
2021-03-03 03:17:56,-77,-11,-37,-36
2021-03-03 03:17:59,-77,-43,-57,-79
2021-03-03 03:18:03,-65,-69,-72,-75
2021-03-03 03:18:04,-66,-50,-17,-64
2021-03-03 03:18:07,-64,-17,-8,-5
2021-03-03 03:18:09,-64,-37,-31,-75
2021-03-03 03:18:12,-65,-77,-40,-24
2021-03-03 03:18:15,-65,-61,-14,-23
2021-03-03 03:18:17,-62,-1,-53,-16
2021-03-03 03:18:21,-63,-68,-9,-65
2021-03-03 03:18:23,-63,-55,-16,-20
2021-03-03 03:18:26,-62,-81,-68,-19
2021-03-03 03:18:28,-62,-62,-21,-36
