"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-15 16:12:59,-56,-27,-57,-52
2021-03-15 16:13:04,-53,-28,-58,-52
2021-03-15 16:13:04,-56,-28,-57,-51
2021-03-15 16:13:06,-56,-27,-58,-52
2021-03-15 16:13:18,-56,-27,-57,-51
2021-03-15 16:13:18,-56,-28,-57,-51
2021-03-15 16:13:18,-56,-27,-57,-51
2021-03-15 16:13:18,-56,-27,-57,-51
2021-03-15 16:13:18,-56,-28,-57,-50
2021-03-15 16:13:21,-56,-27,-58,-51
2021-03-15 16:13:23,-56,-27,-58,-51
2021-03-15 16:13:26,-56,-27,-58,-51
2021-03-15 16:13:28,-56,-28,-57,-51
2021-03-15 16:13:31,-56,-27,-57,-51
2021-03-15 16:13:33,-56,-28,-57,-51
2021-03-15 16:13:38,-56,-27,-57,-51
2021-03-15 16:13:41,-56,-27,-57,-51
2021-03-15 16:13:43,-55,-29,-57,-51
2021-03-15 16:13:46,-56,-27,-57,-51
2021-03-15 16:13:46,-56,-29,-57,-51
2021-03-15 16:13:48,-56,-28,-57,-52
2021-03-15 16:13:51,-56,-27,-57,-51
2021-03-15 16:13:56,-56,-28,-58,-51
2021-03-15 16:13:59,-56,-27,-57,-51
2021-03-15 16:13:59,-56,-28,-57,-51
2021-03-15 16:14:01,-56,-27,-57,-51
2021-03-15 16:14:06,-55,-28,-57,-51
2021-03-15 16:14:06,-56,-28,-58,-52
2021-03-15 16:14:09,-56,-28,-57,-51
2021-03-15 16:14:12,-57,-28,-57,-51
2021-03-15 16:14:22,-57,-28,-58,-51
2021-03-15 16:14:22,-56,-27,-58,-51
2021-03-15 16:14:22,-54,-28,-58,-51
2021-03-15 16:14:24,-56,-27,-57,-52
2021-03-15 16:14:26,-56,-27,-58,-51
2021-03-15 16:14:29,-55,-27,-58,-51
2021-03-15 16:14:31,-56,-28,-57,-51
2021-03-15 16:14:34,-56,-28,-57,-52
2021-03-15 16:14:36,-56,-28,-57,-51
2021-03-15 16:14:39,-56,-28,-58,-50
2021-03-15 16:14:41,-56,-28,-57,-51
2021-03-15 16:14:44,-56,-27,-57,-51
2021-03-15 16:14:49,-56,-28,-58,-52
2021-03-15 16:14:53,-56,-28,-57,-51
2021-03-15 16:14:56,-56,-28,-57,-51
2021-03-15 16:14:59,-55,-28,-57,-51
2021-03-15 16:14:59,-56,-27,-57,-51

