"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-16 12:55:02,-65,-52,-54,-59
2021-03-16 12:55:05,-64,-53,-54,-60
2021-03-16 12:55:08,-64,-54,-53,-59
2021-03-16 12:55:11,-65,-51,-54,-58
2021-03-16 12:55:13,-64,-53,-54,-56
2021-03-16 12:55:16,-65,-54,-54,-59
2021-03-16 12:55:19,-64,-54,-54,-60
2021-03-16 12:55:21,-64,-54,-54,-61
2021-03-16 12:55:24,-64,-52,-54,-58
2021-03-16 12:55:27,-64,-54,-54,-58
2021-03-16 12:55:29,-64,-53,-56,-59
2021-03-16 12:55:32,-64,-54,-54,-60
2021-03-16 12:55:37,-64,-51,-52,-59
2021-03-16 12:55:40,-64,-53,-54,-59
2021-03-16 12:55:43,-62,-52,-54,-59
2021-03-16 12:55:46,-64,-54,-54,-59
2021-03-16 12:55:48,-64,-53,-54,-59
2021-03-16 12:55:51,-64,-54,-50,-60
2021-03-16 12:55:54,-64,-52,-54,-59
2021-03-16 12:55:56,-64,-54,-53,-59
2021-03-16 12:55:59,-62,-54,-54,-59
2021-03-16 12:56:02,-64,-53,-54,-59
2021-03-16 12:56:02,-65,-50,-53,-59
2021-03-16 12:56:05,-65,-54,-54,-60
2021-03-16 12:56:07,-64,-53,-54,-59
2021-03-16 12:56:10,-65,-50,-54,-59
2021-03-16 12:56:13,-64,-53,-54,-59
2021-03-16 12:56:15,-64,-53,-54,-59
2021-03-16 12:56:21,-64,-53,-54,-66
2021-03-16 12:56:21,-64,-54,-55,-60
2021-03-16 12:56:23,-64,-54,-54,-59
2021-03-16 12:56:26,-64,-50,-54,-58
2021-03-16 12:56:29,-64,-53,-54,-59
2021-03-16 12:56:31,-64,-53,-54,-60
2021-03-16 12:56:34,-65,-54,-54,-58
2021-03-16 12:56:37,-64,-54,-54,-59
2021-03-16 12:56:42,-64,-53,-54,-59
2021-03-16 12:56:45,-64,-53,-55,-60
2021-03-16 12:56:45,-64,-53,-54,-59
2021-03-16 12:56:48,-64,-53,-54,-59
2021-03-16 12:56:50,-65,-54,-54,-57
2021-03-16 12:56:53,-64,-52,-54,-59
2021-03-16 12:56:56,-65,-53,-54,-59
2021-03-16 12:56:59,-64,-53,-54,-58

