"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-16 16:53:01,-51,-56,-55,-59
2021-03-16 16:53:04,-50,-56,-56,-59
2021-03-16 16:53:07,-52,-56,-53,-59
2021-03-16 16:53:10,-52,-56,-53,-60
2021-03-16 16:53:18,-51,-53,-56,-59
2021-03-16 16:53:18,-51,-56,-56,-59
2021-03-16 16:53:18,-51,-56,-56,-59
2021-03-16 16:53:21,-52,-56,-53,-59
2021-03-16 16:53:23,-51,-56,-53,-59
2021-03-16 16:53:29,-52,-57,-55,-59
2021-03-16 16:53:32,-52,-56,-56,-59
2021-03-16 16:53:34,-52,-56,-53,-59
2021-03-16 16:53:34,-51,-55,-56,-59
2021-03-16 16:53:37,-52,-56,-56,-59
2021-03-16 16:53:39,-52,-54,-56,-59
2021-03-16 16:53:42,-51,-56,-56,-59
2021-03-16 16:53:45,-52,-56,-56,-59
2021-03-16 16:53:48,-50,-56,-56,-59
2021-03-16 16:53:51,-52,-56,-56,-59
2021-03-16 16:53:54,-51,-56,-56,-59
2021-03-16 16:53:56,-51,-56,-56,-59
2021-03-16 16:53:59,-52,-56,-57,-59
2021-03-16 16:54:01,-53,-56,-56,-59
2021-03-16 16:54:04,-49,-56,-54,-59
2021-03-16 16:54:07,-52,-55,-56,-59
2021-03-16 16:54:10,-52,-56,-56,-59
2021-03-16 16:54:12,-52,-56,-54,-59
2021-03-16 16:54:18,-51,-56,-56,-59
2021-03-16 16:54:21,-50,-56,-56,-60
2021-03-16 16:54:24,-52,-56,-56,-59
2021-03-16 16:54:26,-51,-54,-55,-59
2021-03-16 16:54:31,-52,-57,-56,-59
2021-03-16 16:54:31,-52,-56,-57,-58
2021-03-16 16:54:31,-49,-56,-57,-59
2021-03-16 16:54:34,-50,-59,-56,-59
2021-03-16 16:54:37,-52,-56,-56,-60
2021-03-16 16:54:40,-52,-54,-57,-59
2021-03-16 16:54:42,-51,-56,-56,-59
2021-03-16 16:54:45,-51,-54,-57,-59
2021-03-16 16:54:48,-52,-55,-57,-59
2021-03-16 16:54:51,-51,-55,-56,-59

