"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-18 07:02:04,-47,-55,-60,-53
2021-03-18 07:02:07,-48,-55,-60,-54
2021-03-18 07:02:09,-47,-54,-61,-52
2021-03-18 07:02:11,-46,-55,-60,-53
2021-03-18 07:02:13,-48,-55,-60,-53
2021-03-18 07:02:16,-46,-55,-60,-53
2021-03-18 07:02:18,-47,-55,-60,-52
2021-03-18 07:02:20,-48,-55,-60,-53
2021-03-18 07:02:23,-49,-55,-60,-52
2021-03-18 07:02:25,-48,-55,-60,-55
2021-03-18 07:02:27,-48,-55,-60,-52
2021-03-18 07:02:30,-49,-55,-60,-53
2021-03-18 07:02:32,-49,-56,-60,-52
2021-03-18 07:02:34,-48,-55,-59,-52
2021-03-18 07:02:36,-47,-55,-60,-52
2021-03-18 07:02:39,-47,-55,-60,-52
2021-03-18 07:02:41,-48,-55,-60,-53
2021-03-18 07:02:43,-48,-55,-60,-52
2021-03-18 07:02:45,-48,-55,-60,-52
2021-03-18 07:02:48,-49,-55,-60,-52
2021-03-18 07:02:50,-47,-55,-60,-53
2021-03-18 07:02:52,-48,-55,-60,-52
2021-03-18 07:02:55,-48,-55,-60,-52
2021-03-18 07:02:57,-48,-55,-60,-53
2021-03-18 07:02:59,-48,-54,-60,-52
2021-03-18 07:03:02,-49,-55,-60,-53
2021-03-18 07:03:04,-47,-55,-60,-52
2021-03-18 07:03:06,-48,-56,-61,-51
2021-03-18 07:03:08,-47,-55,-60,-52
2021-03-18 07:03:11,-47,-55,-60,-52
2021-03-18 07:03:13,-48,-55,-60,-52
2021-03-18 07:03:15,-47,-55,-60,-50
2021-03-18 07:03:18,-47,-56,-60,-53
2021-03-18 07:03:20,-48,-55,-61,-53
2021-03-18 07:03:22,-47,-56,-60,-53
2021-03-18 07:03:25,-48,-55,-60,-53
2021-03-18 07:03:27,-49,-57,-60,-53
2021-03-18 07:03:29,-48,-56,-60,-53
2021-03-18 07:03:36,-48,-57,-61,-53
2021-03-18 07:03:36,-48,-56,-60,-53
2021-03-18 07:03:39,-49,-56,-61,-53
2021-03-18 07:03:41,-48,-55,-61,-53
2021-03-18 07:03:43,-45,-55,-60,-52
2021-03-18 07:03:43,-48,-55,-60,-52
2021-03-18 07:03:45,-47,-55,-60,-53
2021-03-18 07:03:48,-47,-55,-60,-53
2021-03-18 07:03:50,-48,-55,-60,-52
2021-03-18 07:03:52,-48,-55,-60,-52
2021-03-18 07:03:54,-48,-56,-61,-52
2021-03-18 07:03:57,-46,-55,-60,-52
2021-03-18 07:03:59,-48,-55,-60,-52

