"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-18 12:26:10,-57,-59,-47,-52
2021-03-18 12:26:13,-57,-59,-48,-53
2021-03-18 12:26:18,-57,-59,-47,-53
2021-03-18 12:26:20,-57,-59,-48,-53
2021-03-18 12:26:31,-57,-59,-47,-53
2021-03-18 12:26:31,-58,-59,-47,-52
2021-03-18 12:26:31,-57,-59,-48,-52
2021-03-18 12:26:32,-56,-59,-47,-53
2021-03-18 12:26:35,-57,-59,-47,-52
2021-03-18 12:26:38,-57,-59,-48,-53
2021-03-18 12:26:40,-57,-59,-48,-53
2021-03-18 12:26:43,-55,-60,-48,-53
2021-03-18 12:26:46,-57,-59,-47,-53
2021-03-18 12:26:49,-57,-59,-48,-52
2021-03-18 12:26:52,-57,-59,-47,-53
2021-03-18 12:26:54,-57,-59,-48,-52
2021-03-18 12:26:57,-58,-60,-47,-53
2021-03-18 12:26:59,-57,-59,-47,-53
2021-03-18 12:27:02,-56,-60,-46,-52
2021-03-18 12:27:05,-57,-60,-48,-54
2021-03-18 12:27:08,-57,-59,-45,-52
2021-03-18 12:27:11,-56,-60,-48,-53
2021-03-18 12:27:13,-57,-59,-48,-53
2021-03-18 12:27:16,-57,-59,-48,-53
2021-03-18 12:27:19,-57,-60,-47,-52
2021-03-18 12:27:22,-57,-60,-48,-53
2021-03-18 12:27:24,-57,-59,-47,-54
2021-03-18 12:27:27,-57,-59,-47,-53
2021-03-18 12:27:30,-55,-60,-48,-53
2021-03-18 12:27:33,-57,-59,-48,-53
2021-03-18 12:27:36,-55,-60,-47,-53
2021-03-18 12:27:39,-56,-60,-48,-53
2021-03-18 12:27:43,-57,-59,-47,-53
2021-03-18 12:27:44,-57,-60,-47,-53
2021-03-18 12:28:03,-57,-60,-48,-53
2021-03-18 12:28:03,-57,-59,-47,-53
2021-03-18 12:28:03,-57,-59,-47,-52

